architecture,model,tasks_total,tasks_success,success_rate,avg_iterations,avg_messages,avg_estimated_cost,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_elapsed_seconds
centralized,GigaChat-2-Max,9,4,0.4444444444444444,1.0,6.0,6.0,2194.777777777778,806.3333333333334,3001.1111111111113,23.411933333333334
chain,GigaChat-2-Max,9,4,0.4444444444444444,1.0,4.0,4.0,1391.111111111111,596.8888888888889,1988.0,17.58818888888889
feedback_graph,GigaChat-2-Max,9,6,0.6666666666666666,2.0,5.666666666666667,5.666666666666667,2159.222222222222,757.7777777777778,2917.0,19.626722222222224
fully_connected,GigaChat-2-Max,9,6,0.6666666666666666,1.0,5.0,5.0,2565.8888888888887,752.7777777777778,3318.6666666666665,25.20398888888889
parallel_consensus,GigaChat-2-Max,9,4,0.4444444444444444,1.0,6.0,6.0,2191.3333333333335,935.0,3126.3333333333335,32.54445555555556
single_agent,GigaChat-2-Max,9,5,0.5555555555555556,1.0,1.0,1.0,193.33333333333334,166.33333333333334,359.6666666666667,5.593844444444445
